Login Date,IP Address,User Agent,Login Type
Sat Mar 02 20:50:48 UTC 2024,2607:fb91:1868:923d:78e3:db70:9af1:c63,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Login
Sat Mar 16 01:09:01 UTC 2024,2607:fb90:9f0f:842e:40a1:4c67:992a:3d7a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",Login
Sat Mar 16 01:10:23 UTC 2024,2607:fb90:9f0f:842e:40a1:4c67:992a:3d7a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",Login
Thu Mar 21 06:22:52 UTC 2024,2601:647:6880:59a5:19ea:2590:d83:9a89,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",Login
Sat Mar 23 01:27:12 UTC 2024,68.65.175.5,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",Login
Mon Mar 25 01:02:42 UTC 2024,50.208.55.229,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Thu Mar 28 02:50:12 UTC 2024,24.104.67.134,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Wed Apr 10 16:10:24 UTC 2024,184.74.207.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Thu Apr 11 19:17:35 UTC 2024,2a09:bac3:a626:197d:0:0:28a:2f,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",Login
Thu Apr 11 19:17:36 UTC 2024,2a09:bac3:a626:197d:0:0:28a:2f,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",Login
Sun May 12 22:46:59 UTC 2024,73.223.154.169,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Mon May 13 05:35:14 UTC 2024,23.24.220.209,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Mon May 13 05:35:44 UTC 2024,23.24.220.209,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Tue May 14 19:32:17 UTC 2024,2a09:bac2:655e:1846:0:0:26b:49,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",Login
Mon May 27 05:28:29 UTC 2024,2607:fb90:9e60:123b:b5b8:5bce:e4bb:299,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Fri Jun 07 06:16:50 UTC 2024,208.56.42.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Thu Jul 04 05:37:10 UTC 2024,2a09:bac2:8a8a:aa:0:0:11:17f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",Login
Sat Jul 06 07:27:13 UTC 2024,66.135.132.101,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",Login
Mon Jul 22 21:05:06 UTC 2024,2603:3024:18c5:100:4583:b49a:de5:8946,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Login
Tue Jul 30 05:09:14 UTC 2024,66.135.132.101,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",Login
Fri Aug 16 10:00:34 UTC 2024,2607:fb90:dd27:19e:6cd0:8251:e36d:d159,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.509",Login
Wed Aug 21 00:50:13 UTC 2024,216.250.198.65,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.659 iPhone:17.5.1,Login
Sat Oct 12 20:25:33 UTC 2024,2607:fb91:799d:a430:bded:258:e1b5:ef0d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Login
Thu Oct 24 23:25:12 UTC 2024,2603:3024:18c5:100:ed57:8893:1018:f23a,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.2698 iPhone:18.1,Login
Tue Nov 12 19:28:34 UTC 2024,2603:3024:18c5:100:44cd:9726:1e6e:4d6b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Mobile/15E148 Safari/604.1",Login
Wed Nov 13 06:11:47 UTC 2024,2603:3024:18c5:100:f1cb:69f:97f:2cc8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login
Tue Jan 07 08:56:34 UTC 2025,2603:3024:18c5:100:8c8:1bfa:7320:1b4f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Wed Jan 15 06:11:48 UTC 2025,2603:3024:18c5:100:488:7ce0:3c19:2596,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Wed Jan 15 06:27:20 UTC 2025,2603:3024:18c5:100:488:7ce0:3c19:2596,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Wed Jan 15 06:47:02 UTC 2025,2603:3024:18c5:100:488:7ce0:3c19:2596,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Wed Jan 15 07:57:50 UTC 2025,2603:3024:18c5:100:488:7ce0:3c19:2596,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Thu Jan 16 00:16:10 UTC 2025,2603:3024:18c5:100:488:7ce0:3c19:2596,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Fri Jan 17 23:32:06 UTC 2025,2603:3024:18c5:100:a0b5:d493:66be:4ad1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Mon Jan 20 23:34:19 UTC 2025,2603:3024:18c5:100:e0af:1f93:e85f:7c9a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Fri Jan 24 06:57:36 UTC 2025,2603:3024:18c5:100:d980:57c6:7dd7:165a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Fri Jan 24 22:34:49 UTC 2025,2603:3024:18c5:100:ac3b:6dae:ed88:7888,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Mon Feb 03 06:41:16 UTC 2025,2603:3024:18c5:100:48aa:8015:4138:7948,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Login
Fri Feb 07 04:22:44 UTC 2025,172.210.134.196,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login
