Challenge Date,IP Address,User Agent,Country,Challenge Type
Sat Mar 02 20:50:11 UTC 2024,2607:fb91:1868:923d:78e3:db70:9af1:c63,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Unknown,EMAIL_PIN_CHALLENGE
Sat Mar 02 20:50:47 UTC 2024,2607:fb91:1868:923d:78e3:db70:9af1:c63,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Unknown,EMAIL_PIN_CHALLENGE
Sat Mar 16 01:08:06 UTC 2024,2607:fb90:9f0f:842e:40a1:4c67:992a:3d7a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Sat Mar 16 01:08:15 UTC 2024,2607:fb90:9f0f:842e:40a1:4c67:992a:3d7a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Sat Mar 16 01:09:00 UTC 2024,2607:fb90:9f0f:842e:40a1:4c67:992a:3d7a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Mon Mar 18 22:21:10 UTC 2024,2607:fb90:8b20:290:e018:c66d:3434:1b8a,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",United States,EMAIL_PIN_CHALLENGE
Sat Mar 23 01:26:45 UTC 2024,68.65.175.5,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",United States,EMAIL_PIN_CHALLENGE
Sat Mar 23 01:27:11 UTC 2024,68.65.175.5,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",United States,EMAIL_PIN_CHALLENGE
Fri Jun 07 06:16:37 UTC 2024,208.56.42.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Fri Jun 07 06:16:46 UTC 2024,2607:fb90:8e8b:e28f:7dfe:e691:82c6:cb3,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.7597",United States,SSP_BLOCKING_CHALLENGE
Fri Jun 07 06:16:48 UTC 2024,2607:fb90:8e8b:e28f:7dfe:e691:82c6:cb3,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.7597",United States,LINKEDIN_APP_CHALLENGE
Fri Jun 07 06:16:49 UTC 2024,208.56.42.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Mon Jul 22 21:04:58 UTC 2024,2603:3024:18c5:100:4583:b49a:de5:8946,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",United States,SSP_BLOCKING_CHALLENGE
Mon Jul 22 21:04:59 UTC 2024,2603:3024:18c5:100:4583:b49a:de5:8946,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",United States,SSP_BLOCKING_CHALLENGE
Mon Jul 22 21:05:04 UTC 2024,2603:3024:18c5:100:4583:b49a:de5:8946,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.9067",United States,SSP_BLOCKING_CHALLENGE
Mon Jul 22 21:05:05 UTC 2024,2603:3024:18c5:100:4583:b49a:de5:8946,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.9067",United States,LINKEDIN_APP_CHALLENGE
Mon Jul 22 21:05:05 UTC 2024,2603:3024:18c5:100:4583:b49a:de5:8946,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",United States,SSP_BLOCKING_CHALLENGE
