Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-10-09 00:04:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7381841850795569152,"Great insights from today’s panel on regulated markets, financial rails, and production-grade compliance.""
""The Complexity Advantage with Angela Strange  (a16z), Andrew W.  (Valon), and Wade Arnold (Moov).""
""Building where the stakes are highest → stronger moats.""
""""
""#Fintech #Payments #Compliance #Infrastructure #AI","","",MEMBER_NETWORK
2025-09-26 05:45:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7377216800301797377,"Friday Sept 26 with Mariane Bekker. ""
""GIGAPARTY🚀🤖🦾""
""""
""2,000+ founders, VCs & execs take over Temple SF for Gigaparty 3 — the biggest tech + culture summit of the year.""
""""
""🔥 Who’s in the room: a16z, Bloomberg Capital, Dell Capital, Hustle Fund + 300+ top investors""
""""
""🎤 On stage: Bill Tai, Eric Bahn, SF Chief of Police & more""
""""
""🎶 After dark: all-night party with top DJs, including Twitch co-founder Justin Kan""
""""
""🤖 And history in the making: the world’s first LIVE humanoid robot fight","","",MEMBER_NETWORK
2025-07-18 23:04:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7352111133006143488,I’m happy to share that I’m starting a new position as Chief Stealth Officer at Stealth AI Startup!,"","",MEMBER_NETWORK
2024-04-08 20:11:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7183194748986294272,"Met Clem Delangue 🤗  from Hugging Face in Miami! Love to see what they're doing in the AI space. 🚀 ""
""The possibilities are endless. #AI #Fintech #Innovation #Collaboration","","",MEMBER_NETWORK
2024-02-14 20:57:32,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1906644-7163637407165198336,"I really enjoyed Steve McLaughlin's insights at the Miami Fintech Club yesterday. His deep understanding of the fintech landscape and forward-thinking ideas resonate with our goals at CashQ. It's always inspiring to engage with industry leaders who are shaping the future of fintech. We look forward to more insightful interactions!""
""""
""#Fintech #Innovation #Networking #MiamiFintechClub #CashQ #FTPartners","","",MEMBER_NETWORK
2024-02-14 20:56:36,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7163637173404057601,"I really enjoyed Steve McLaughlin's insights at the Miami Fintech Club yesterday. His deep understanding of the fintech landscape and forward-thinking ideas resonate with our goals at CashQ. It's always inspiring to engage with industry leaders who are shaping the future of fintech. We look forward to more insightful interactions!""
""""
""#Fintech #Innovation #Networking #MiamiFintechClub #CashQ #FTPartners","","",MEMBER_NETWORK
2024-02-13 01:53:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7162986999287640064,"🎉 Join me and Denis Hiller at the Tech + Startups Party on Feb 13 at 8Street Brickell! It's a great networking opportunity for Miami tech enthusiasts. Details: https://lu.ma/lwu5lxqf. See you there!""
""""
""#TechEvent #Networking #Startups #8StreetBrickell #miami","","",MEMBER_NETWORK
2023-10-27 19:47:11,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1906644-7123757040631521280,"Honored to have CashQ (ODX1) 🇺🇦  (ODX1) and Arina Anapolskaya 🇺🇦  featured alongside Miami’s fintech innovators in USVenture News’ recent article. A testament to the relentless drive and innovation flourishing in our community! 🔥.   ""
""""
""#MiamiStartups #Fintech #USVentureNews #Innovation #CashQ #crossborderpayments","","",MEMBER_NETWORK
2023-10-27 19:47:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7123757011262996480,"Honored to have CashQ (ODX1) 🇺🇦  (ODX1) and Arina Anapolskaya 🇺🇦  featured alongside Miami’s fintech innovators in USVenture News’ recent article. A testament to the relentless drive and innovation flourishing in our community! 🔥.   ""
""""
""#MiamiStartups #Fintech #USVentureNews #Innovation #CashQ #crossborderpayments","","",MEMBER_NETWORK
2023-10-17 18:37:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7120115684080046080,"I'm excited to share my latest article on Forbes about the evolving remittance landscape! 🚀 The shift from standalone platforms to embedding remittance 💸  within banking apps creates a seamless experience for users. Plus, it's a fantastic opportunity for banks to offer a holistic financial service and build stronger trust and relationships with customers. Check it out!""
""""
""https://lnkd.in/gGRyGtyQ ""
""""
""#Remittance #BankingInnovation #CustomerExperience #CashQ #CrossBorder",https://www.forbes.com/sites/forbesbusinessdevelopmentcouncil/2023/10/10/the-next-wave-in-remittance-from-standalone-to-embedded/?sh=75ab67107957,"",MEMBER_NETWORK
2023-08-05 03:57:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7093439950347452416,"Ex IBM's Research and Development HQ and the birthplace of the personal computer.  Great place for the meeting with Chelsie Cooper, ETA CPP!","","",MEMBER_NETWORK
2023-08-02 00:00:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7092293168653578240,"","","",MEMBER_NETWORK
2023-07-10 22:07:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7084292049251758080,"","","",MEMBER_NETWORK
2023-05-12 19:30:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7062871556980383745,"Just wrapped up another insightful discussion at the CrossTech  Payments Conference 2023. A massive thank you to Mariano Dall'Orso ★  for expertly moderating, and my fellow panelists Fernanda Rachel Zago and Naushad Contractor for their insightful comments.""
""""
""We explored the role of technology in business payments fintechs and how it's shaping the B2B Cross-Border Market. Exciting times ahead!""
""""
""Stay tuned for more updates and let's keep the conversation going.""
""#CrossTech2023 #CashQ #Fintech #Technology #B2BPayments","","",MEMBER_NETWORK
2023-05-12 03:23:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7062628198877929472,"What an engaging discussion today at the CrossTech Payments Conference 2023! A big thanks to my co-panelists Allison Barbosa  and Robin Garrison, CAMS-AUDIT, and our moderator Logan Lemberger.""
""We had a fruitful conversation around bank-fintech partnerships for cross-border payments, focusing on innovative solutions and strategic collaborations. ""
""Looking forward to tomorrow's panel on Products & Technology for the B2B Cross-Border Market!""
""#CrossTech2023 #CashQ #Fintech #Banking #crossborderpayments","","",MEMBER_NETWORK
2023-05-05 21:14:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7060361143705333760,"📣 Exciting news! I'm honored to participate as a panelist at the upcoming CrossTech Payments Conference 2023.""
""""
""On May 11, we'll discuss ""Bridging the Gap: Bank-Fintech Partnerships for Cross-Border"" with moderator Logan Lemberger and fellow panelists Allison Barbosa and Robin Garrison, CAMS-AUDIT. It's sure to be an insightful conversation!""
""""
""Then on May 12, join us for a deep dive into ""Products & Technology for the B2B Cross-Border Market"" with Mariano Dall'Orso ★ moderating and panelists Fernanda Rachel Zago and Naushad Contractor. Can't wait to share insights on the importance of tech in business payments fintech.""
""""
""Stay tuned for more updates and insights!""
""""
""Registration: https://lnkd.in/e8cAiuru""
""""
""#CashQ #payments #CrossTech2023 #Fintech #Banking #CrossBorderPayments","","",MEMBER_NETWORK
2023-03-22 04:13:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7044159188297539584,"","","",MEMBER_NETWORK
2023-01-19 01:07:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7021644315604996096,"I am thrilled to be a part of the CrossTech 2022 Innovation Winners Round Table in the Cross-Border Payments Industry. As a panelist, I'll be sharing my expertise and insights on the latest trends and developments in the field. Join me and other industry leaders for a thought-provoking discussion and networking opportunities. Register now at the link: https://lnkd.in/drtz2pxY #CrossTech2022 #Innovation #CrossBorderPayments #Panelist #CashQ","","",MEMBER_NETWORK
2022-12-19 19:30:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7010687861326757888,"In case you missed it, Arina Anapolskaya 🇺🇦 and CashQ (ODX1) 🇺🇦 were recently featured in an article about Miami's growing status as a hub for cross-border payments, by Riley Kaminer. Check out the article here: https://lnkd.in/exwEf_EJ. Congrats to Paysend, Payall Payment Systems, Inc., Finnt (YC W22) and OKY Yes, Tú Puedes also being featured in the article. Great to see so many innovative companies driving the growth of cross-border payments in Miami and beyond!  Jairo Riveros, Gary Palmer, Anji Ismail, Santiago Rossi, Victor Unda #payments #crossborderpayments #remittances",https://refreshmiami.com/miami-is-becoming-a-hub-for-cross-border-payments-heres-how/,"",MEMBER_NETWORK
2022-11-16 17:26:15,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2363621-6998697757565714433,"CashQ (ODX1) 🇺🇦 team attending the CrossTech World conference in Miami. Our amazing  Arina Anapolskaya 🇺🇦  will be a speaker at a panel tomorrow. See you there!""
""#cashq #crossborderpayments #crosstechworld2022 #fintech","","",MEMBER_NETWORK
2022-11-16 17:26:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6998697695024398336,"CashQ (ODX1) 🇺🇦 team attending the CrossTech World conference in Miami. Our amazing  Arina Anapolskaya 🇺🇦  will be a speaker at a panel tomorrow. See you there!""
""#cashq #crossborderpayments #crosstechworld2022 #fintech","","",MEMBER_NETWORK
2022-11-11 19:57:38,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1906644-6996923916082380800,"Money 20/20 exclusive intakes from Fintech dreamers!""
""#cashq #money2020 #fintechinnovation ""
""https://lnkd.in/eunTCE3J","","",MEMBER_NETWORK
2022-11-11 19:57:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6996923882934824960,"Money 20/20 exclusive intakes from Fintech dreamers!""
""#cashq #money2020 #fintechinnovation ""
""https://lnkd.in/eunTCE3J","","",MEMBER_NETWORK
2022-11-11 15:58:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6996863741489209344,"Today CashQ (ODX1) 🇺🇦  team heading to the #fintechformal event in NYC. Let's meet there!""
""FinTechformal.com""
""#cashq #fintech",http://FinTechformal.com,"",MEMBER_NETWORK
2022-11-10 23:13:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6996610754539876352,"Just landed in NYC and already at a fantastic event by Rise, created by Barclays - the Home of FinTech about Diversity in Fintech with my Partner and coFounder Arina Anapolskaya 🇺🇦 ""
""#cashq #diversity","","",MEMBER_NETWORK
2022-10-26 21:37:31,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2363621-6991150848340803584,"I cannot agree more with the cross-border payment market perspective.""
""#crossborderpayments #cashq","","",MEMBER_NETWORK
2022-10-26 21:35:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6991150423839514625,"I cannot agree more with the cross-border payment market perspective.""
""#crossborderpayments #cashq","","",MEMBER_NETWORK
2022-10-25 18:46:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6990745442175131648,"CashQ Team at Money2020 / Day3. ""
""DM me if you want to meet.""
""""
""#money2020  #cashq #crossborderpayments","","",MEMBER_NETWORK
2022-10-17 20:33:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6987873123643645952,"Would love to meet you at Money20/20!!""
""#money2020 #crossborderpayments #fintech #cashq","","",MEMBER_NETWORK
