"Company","Category","URL","Description","Target ICP","Key Features","Pricing Model","Funding/Valuation","Geography","Positioning vs FINORI"
"Synctera","BaaS Platform","https://synctera.com","Full BaaS platform for fintechs - accounts, cards, money movement, compliance","Fintechs building banking products","APIs, Ledger, Console, KYC/KYB, Payment rails, Fraud monitoring, Bank matching network","Revenue share + platform fee","$100M+ raised","US-focused","Direct competitor - middleware between fintech and bank. FINORI differentiates with 'bank comfort' approach"
"Treasury Prime","BaaS Platform","https://treasuryprime.com","'Bank Direct' embedded banking platform","Mid-market fintechs, enterprise","Direct bank relationships, Embedded banking, Referral relationships, Corporate API banking, 15+ bank network","Platform fee + revenue share","$100M+ raised, $10B+ deposits","US-focused","Direct competitor. Claims 'most banks choose us'. FINORI can compete on foreign fintech expertise"
"Braid (BraidFi)","Bank Enablement Platform","https://braidfi.com","Full payment infrastructure for community banks. Braid Payment Core is standalone (no legacy core integration). 'Not BaaS/middleware' - dedicated instance in bank's cloud.","Community banks wanting to become digital payment powerhouses","Payment Core, Ledger (Fiat+Token), ACH/Wire/Card/RTP/FedNow, Issuer Processor, DeFi Bridge, Compliance (PCI/NACHA/BSA-AML/OFAC)","Software licensing + Processing + Revenue share (6mo sales support)","$10-20M (early stage) [UNVERIFIED]","US-focused","Potential PARTNER not competitor. Braid enables banks; FINORI prepares fintechs. Complementary."
"Unit","BaaS Platform","https://unit.co","Embedded finance platform - 'Ready-to-Launch' or 'Custom' options","SaaS platforms, fintechs","Accounts, Cards, Money movement, Ready-in-3-weeks or Custom in 6 weeks, $50B+ annual volume","Platform fee + transaction fee","$200M+ raised","US-focused","Competitor. Known for fast launch times. FINORI differentiates on compliance depth for foreign entities"
"Alloy","Identity/Compliance","https://alloy.com","Identity & fraud prevention platform, 700+ FI customers","Banks, fintechs, embedded finance programs","KYC/KYB, AML, Fraud, Credit underwriting, Transaction monitoring, 200+ data partners","Per-decision pricing","$200M+ raised","US + Global","Complementary - potential partner for FINORI's compliance stack"
"Middesk","Business Verification","https://middesk.com","Business identity platform - KYB, verification, credit assessment","Fintechs, banks, lenders, marketplaces","KYB, Business verification, Credit assessment, Lien filing, Direct gov connections","Per-verification pricing","$100M+ raised","US-focused","Complementary - potential partner for business verification"
"Sardine","Fraud/AML Platform","https://sardine.ai","AI risk platform for fraud, credit, compliance","Banks, fintechs, sponsor banks","Device intelligence, Behavior biometrics, KYC/KYB, AML monitoring, Sponsor Bank OS","SaaS subscription","$100M+ raised","US + Global","Complementary - especially Sponsor Bank OS could be partner or competitor"
"Bond","Embedded Credit","https://bond.tech","Enterprise-grade embedded finance, focus on credit/cards","Software platforms, fintechs, enterprise","Consumer/commercial cards, Credit programs, Underwriting, Card issuing, Multi-bank approach","Platform fee + revenue share","$100M+ raised (Goldman-backed)","US-focused","Competitor in card/credit space. FINORI differentiates on full-stack banking + foreign focus"
"Modern Treasury","Payment Operations","https://moderntreasury.com","Money movement APIs - ACH, RTP, wires, stablecoins","Enterprise, platforms, fintechs","Payment APIs, Ledgers, Multi-bank integrations, Real-time tracking","Transaction fee","$100M+ raised","US + Global","Complementary - payment infrastructure partner option"
"Column","Bank (Direct)","https://column.com","Nationally chartered bank built for developers, 'platform bank'","Fintechs, platforms, enterprises","Direct Fed access, Bank accounts, Payments, Cards, Lending, $2T+ annual volume, 99.999% uptime","Direct bank relationship","Unique - actual bank charter","US-focused","Different model - Column IS the bank. FINORI helps fintechs connect to banks like Column"
"Lithic","Card Issuing","https://lithic.com","Developer-first card issuing, processor-agnostic","Fintechs, platforms needing cards","Virtual/physical cards, Multi-currency, Authorization decisioning, Settlement API","Transaction fee","$100M+ raised","US + Global","Complementary - card issuing partner. FINORI could bundle or compete"
"Marqeta","Card Issuing","https://marqeta.com","Enterprise card issuing platform, $290B+ processed 2024","Enterprise fintechs, large platforms","Card issuing, Processing, Real-time controls, Global (40+ countries)","Transaction fee (public company)","Public (MQ), $4B+ market cap","Global","Large enterprise competitor in card space"
"Galileo (SoFi)","Processing Platform","https://galileo-ft.com","Financial technology platform - cards, deposits, payments, lending","Banks, fintechs, brands","Card issuing, Payment hub, Digital banking, Core banking, 100M+ accounts","Platform fee","Owned by SoFi","US + LATAM","Competitor - full stack. Owned by SoFi creates potential conflict"
"Stripe Treasury","Embedded Finance","https://stripe.com/financial-accounts","Embedded financial services for platforms (via Fifth Third Bank)","Stripe Connect platforms","Accounts, FDIC insurance, ACH/Wire, Cards via Issuing integration","Stripe pricing","Part of Stripe","US-focused","Competitor for platforms already on Stripe. FINORI differentiates on standalone relationships"
"Solid","Fintech Platform","https://solidfi.com","Embedded banking platform with 'built-in compliance'","Banks, fintechs","Accounts, Payments, Card issuance, Compliance-first architecture, $11B+ processed","Platform fee","$80M+ raised","US-focused","Competitor. 'Built-in compliance' positioning similar to FINORI's compliance focus"
"Weavr","Embedded Finance (UK/EU)","https://weavr.io","Embedded financial solutions for B2B SaaS, UK/EU focused","B2B SaaS platforms in Europe","Accounts, Cards, Pre-approved payment models, UK FCA regulated","Platform fee","$50M+ raised","UK/Europe","Different geography. Reference for European approach. Could be expansion partner"
"Nium","Global Payments","https://nium.com","Global real-time payments infrastructure","Global enterprises, fintechs, banks","190+ payout countries, Card issuing, Real-time payments, Swift network","Transaction fee","$1B+ valuation (unicorn)","Global","Competitor for cross-border. FINORI could partner for global reach or compete on US-entry focus"
"Cross River","Sponsor Bank","https://crossriver.com","API-based sponsor bank, pioneered fintech banking","Fintechs, digital lenders, platforms","Full banking platform, Crypto, Payments, Cards, Lending, Securities arm","Direct bank relationship","$3B+ valuation","US-focused","Partner-type relationship typically. Cross River could be FINORI's bank partner"
"Hummingbird","Compliance Operations","https://hummingbird.co","Unified risk & compliance operations platform","Banks, fintechs, compliance teams","Case management, SAR filing, Compliance automation, AI assistance","SaaS subscription","$50M+ raised","US-focused","Complementary - compliance operations partner"
"Fenergo","CLM/KYC Enterprise","https://fenergo.com","Enterprise client lifecycle management, KYC/AML","Large banks, financial institutions","Client onboarding, KYC, Transaction monitoring, Regulatory compliance, AI-powered","Enterprise SaaS","$1B+ valuation","Global","Different segment (enterprise). FINORI could use similar approach for mid-market"
"Evolve Bank & Trust","Sponsor Bank","https://getevolved.com","100-year community bank with modern BaaS/Open Banking division","Fintechs, ISOs, Aggregators, TPPs","BaaS Solutions, Third-Party Relationships, Platform Integration, Compliance support","Direct bank relationship + processing fees","Community bank (not VC-backed)","US-focused","PRIORITY PARTNER CANDIDATE. Active BaaS appetite, third-party experience. Note: Synapse exposure risk"
"Pathward","Sponsor Bank","https://pathward.com","National bank focused on 'Financial Inclusion for All'","Fintechs, payment facilitators, tax processors","Partner Solutions, Issuing, Acquiring, Digital Payments, Credit Solutions","Direct bank relationship","Public company (CASH)","US-focused","PARTNER CANDIDATE. Financial inclusion mission may align with foreign fintech entry"
"CFSB","Sponsor Bank","https://cfsb.com","Full-service payments, lending, banking provider since 2001","Fintechs, payment processors, global brands","Direct Banking, Lending APIs, Cross-border Payments, Compliance framework","Direct bank relationship","Community bank","US + Global focus","PRIORITY PARTNER - cross-border experience, personal approach, 20+ year track record"
